Date,Home,Away,HG,AG,1,X,2,Season,Result,HTR,Week,HW,AW,HL,AL,HGF,AGF,HAGF,HGA,AGA,HAGA,HGD,AGD,HAGD,HWGD,AWGD,HAWGD,HLGD,ALGD,HALGD,HW%,HL%,AW%,AL%
2026-05-12,Gangwon,Daejeon,2,0,2.05,3.0,3.3,2026,H,D,79,0.0,1.0,0.0,0.0,1.0,5.0,-4.0,1.0,0.0,1.0,0.0,5.0,-5.0,0.0,1.0,-1.0,0.0,0.0,0.0,16.7,16.7,66.7,16.7
2026-05-12,Gwangju FC,Seoul,0,1,7.0,4.1,1.35,2026,A,D,80,0.0,0.0,0.0,1.0,0.0,1.0,-1.0,0.0,2.0,-2.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,50.0,71.4,14.3
2026-05-12,Incheon,Pohang,0,1,2.4,2.9,2.75,2026,A,A,81,0.0,1.0,1.0,0.0,0.0,2.0,-2.0,1.0,0.0,1.0,-1.0,2.0,-3.0,0.0,1.0,-1.0,0.0,0.0,0.0,33.3,66.7,40.0,20.0
2026-05-10,Anyang,Jeonbuk,1,1,3.2,3.1,2.05,2026,D,D,77,0.0,1.0,1.0,0.0,0.0,2.0,-2.0,1.0,0.0,1.0,-1.0,2.0,-3.0,0.0,1.0,-1.0,0.0,0.0,0.0,20.0,40.0,33.3,16.7
2026-05-10,Ulsan,Bucheon,1,0,1.65,3.4,4.5,2026,H,H,78,0.0,1.0,1.0,0.0,0.0,1.0,-1.0,1.0,0.0,1.0,-1.0,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,50.0,50.0,33.3
2026-05-09,Daejeon,Pohang,0,2,2.15,3.05,3.05,2026,A,D,73,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,25.0,25.0
2026-05-09,Gwangju FC,Gangwon,0,0,8.5,4.0,1.35,2026,D,D,74,0.0,1.0,1.0,0.0,0.0,1.0,-1.0,5.0,0.0,5.0,-5.0,1.0,-6.0,0.0,0.0,0.0,1.0,0.0,1.0,20.0,60.0,50.0,33.3
2026-05-09,Jeju,Seoul,2,1,3.4,3.1,1.97,2026,H,H,75,0.0,1.0,1.0,0.0,0.0,2.0,-2.0,2.0,1.0,1.0,-2.0,1.0,-3.0,0.0,0.0,0.0,1.0,0.0,1.0,16.7,50.0,83.3,0.0
2026-05-09,Sangmu,Incheon,0,3,2.3,3.0,2.8,2026,A,A,76,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,33.3,16.7
2026-05-05,Bucheon,Jeju,0,1,2.4,3.0,2.7,2026,A,D,67,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,-2.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,40.0,40.0,40.0
