Date,Home,Away,SourceHome,SourceAway,HG,AG,HTHG,HTAG,MatchScore
2019-08-04,Kalmar,Hammarby,Kalmar FF,Hammarby IF,2,2,0,1,0.873015873015873
2019-08-04,Hacken,Sirius,BK Häcken,IK Sirius,4,1,3,1,0.8571428571428571
2019-08-03,Ostersunds,AFC Eskilstuna,Östersunds FK,AFC Eskilstuna,1,2,1,1,0.9545454545454546
2019-07-28,Ostersunds,Malmo FF,Östersunds FK,Malmö FF,0,0,0,0,0.9545454545454546
2019-07-28,Goteborg,Norrkoping,IFK Göteborg,IFK Norrköping,0,0,0,0,0.8558352402745995
2019-07-28,Djurgarden,Hacken,Djurgården,BK Häcken,2,0,0,0,0.9285714285714286
2019-07-27,Sirius,AIK,IK Sirius,AIK,0,2,0,0,0.9285714285714286
2019-07-27,Falkenbergs,Sundsvall,Falkenbergs FF,GIF Sundsvall,2,0,2,0,0.8869047619047619
2019-07-21,Norrkoping,Ostersunds,IFK Norrköping,Östersunds FK,3,0,2,0,0.8893280632411067
2019-07-21,Malmo FF,Sirius,Malmö FF,IK Sirius,1,1,1,1,0.9285714285714286
2019-07-21,Goteborg,AFC Eskilstuna,IFK Göteborg,AFC Eskilstuna,1,0,1,0,0.9210526315789473
2019-07-20,Orebro,Falkenbergs,Orebro SK,Falkenbergs FF,4,0,3,0,0.8869047619047619
2019-07-20,AIK,Helsingborg,AIK,Helsingborg,2,0,1,0,1.0
2019-07-14,Ostersunds,Norrkoping,Östersunds FK,IFK Norrköping,2,1,0,0,0.8893280632411067
2019-07-14,Hacken,Orebro,BK Häcken,Orebro SK,3,0,0,0,0.8571428571428571
2019-07-14,Djurgarden,Malmo FF,Djurgården,Malmö FF,1,1,0,0,1.0
2019-07-13,Falkenbergs,Goteborg,Falkenbergs FF,IFK Göteborg,1,1,0,0,0.8793859649122806
2019-07-13,AIK,Elfsborg,AIK,IF Elfsborg,3,0,2,0,0.9444444444444444
2019-07-07,Norrkoping,Hacken,IFK Norrköping,BK Häcken,2,1,1,0,0.8633540372670807
2019-07-07,Hammarby,Falkenbergs,Hammarby IF,Falkenbergs FF,6,2,3,0,0.9027777777777777
2019-07-06,Sirius,Ostersunds,IK Sirius,Östersunds FK,1,1,0,0,0.8831168831168831
2019-07-06,Kalmar,AIK,Kalmar FF,AIK,0,1,0,0,0.9285714285714286
2019-07-06,Goteborg,Sundsvall,IFK Göteborg,GIF Sundsvall,2,1,2,0,0.849624060150376
2019-06-30,Norrkoping,Sirius,IFK Norrköping,IK Sirius,0,1,0,0,0.8633540372670807
2019-06-30,AIK,Malmo FF,AIK,Malmö FF,0,0,0,0,1.0
2019-06-29,Ostersunds,Goteborg,Östersunds FK,IFK Göteborg,0,0,0,0,0.8755980861244019
2019-06-02,Helsingborg,Malmo FF,Helsingborg,Malmö FF,0,1,0,1,1.0
2019-06-02,Elfsborg,Hacken,IF Elfsborg,BK Häcken,0,0,0,0,0.873015873015873
2019-06-02,AIK,Hammarby,AIK,Hammarby IF,2,0,2,0,0.9444444444444444
2019-06-02,AFC Eskilstuna,Norrkoping,AFC Eskilstuna,IFK Norrköping,0,2,0,1,0.9347826086956521
2019-06-01,Sirius,Djurgarden,IK Sirius,Djurgården,0,2,0,1,0.9285714285714286
2019-06-01,Goteborg,Orebro,IFK Göteborg,Orebro SK,0,1,0,1,0.849624060150376
2019-05-26,Kalmar,Elfsborg,Kalmar FF,IF Elfsborg,1,1,0,0,0.873015873015873
2019-05-26,Djurgarden,Ostersunds,Djurgården,Östersunds FK,3,1,2,1,0.9545454545454546
2019-05-25,Malmo FF,AFC Eskilstuna,Malmö FF,AFC Eskilstuna,5,0,1,0,1.0
2019-05-25,Hacken,Goteborg,BK Häcken,IFK Göteborg,1,2,0,1,0.849624060150376
2019-05-19,Sirius,Hacken,IK Sirius,BK Häcken,3,4,1,2,0.8571428571428571
2019-05-19,Malmo FF,Kalmar,Malmö FF,Kalmar FF,1,0,0,0,0.9285714285714286
2019-05-19,Djurgarden,Elfsborg,Djurgården,IF Elfsborg,2,0,2,0,0.9444444444444444
