samples,accuracy,log_loss,brier,mean_confidence,fold,train_samples,test_start,test_end,联赛,任务,候选模型
230,0.1608695652173913,2.9714622937498065,0.9295451090085112,0.11585911946123893,1,3928,2023-05-27,2024-05-12,德甲,score,非线性泊松+自动Dixon-Coles
230,0.09130434782608696,3.110905116207815,0.9465397992687941,0.12364497062294816,2,4158,2024-05-18,2025-05-17,德甲,score,非线性泊松+自动Dixon-Coles
230,0.1391304347826087,2.9973255408321315,0.9374756887299548,0.12116118237459306,3,4388,2025-10-31,2026-05-16,德甲,score,非线性泊松+自动Dixon-Coles
306,0.15359477124183007,2.7993325657836405,0.9196409436986377,0.12658809571544827,1,5214,2023-05-14,2024-05-17,意甲,score,泊松基准
306,0.17320261437908496,2.7067226397623525,0.9124879199640579,0.12684143057357958,2,5520,2024-05-18,2025-05-23,意甲,score,泊松基准
306,0.10784313725490197,2.778206071446529,0.9234271201327489,0.1288181654126043,3,5826,2025-05-24,2026-05-24,意甲,score,泊松基准
306,0.1503267973856209,2.7997380119687234,0.9196864950575926,0.1285444189153165,1,5214,2023-05-14,2024-05-17,意甲,score,自动Dixon-Coles
306,0.17320261437908496,2.7068613405582553,0.9125136701721659,0.12822020317454122,2,5520,2024-05-18,2025-05-23,意甲,score,自动Dixon-Coles
306,0.10130718954248366,2.7793287855800295,0.9236892826130907,0.129961263355581,3,5826,2025-05-24,2026-05-24,意甲,score,自动Dixon-Coles
306,0.14705882352941177,2.8041399767455473,0.9200456475325964,0.12811513457228507,1,5214,2023-05-14,2024-05-17,意甲,score,自动Dixon-Coles+均值收缩10%
306,0.16666666666666666,2.7126772985478596,0.9130729422410107,0.1277207814275723,2,5520,2024-05-18,2025-05-23,意甲,score,自动Dixon-Coles+均值收缩10%
306,0.09803921568627451,2.7852434301787734,0.9243113077975696,0.12884054949972376,3,5826,2025-05-24,2026-05-24,意甲,score,自动Dixon-Coles+均值收缩10%
306,0.1568627450980392,2.8118050108699273,0.9206832317760913,0.1310819263541704,1,5214,2023-05-14,2024-05-17,意甲,score,非线性泊松+自动Dixon-Coles
306,0.13725490196078433,2.7207228919255337,0.9143370629780783,0.13085458320725496,2,5520,2024-05-18,2025-05-23,意甲,score,非线性泊松+自动Dixon-Coles
306,0.1111111111111111,2.7725388486164433,0.9229735761597048,0.1326552352385,3,5826,2025-05-24,2026-05-24,意甲,score,非线性泊松+自动Dixon-Coles
301,0.09966777408637874,2.782829028224526,0.9231288916834496,0.12756357942245164,1,5121,2023-02-12,2024-02-25,法甲,score,泊松基准
301,0.10963455149501661,2.998232446457572,0.9399150600434164,0.1265352356816712,2,5422,2024-02-25,2025-04-12,法甲,score,泊松基准
301,0.11627906976744186,3.029307990415953,0.9371314284503781,0.12524719476655327,3,5723,2025-04-13,2026-05-17,法甲,score,泊松基准
301,0.10963455149501661,2.7828167938847717,0.9230993142904782,0.12941889143082325,1,5121,2023-02-12,2024-02-25,法甲,score,自动Dixon-Coles
301,0.10631229235880399,2.999141282277073,0.9401606706425211,0.12841171134944876,2,5422,2024-02-25,2025-04-12,法甲,score,自动Dixon-Coles
301,0.11295681063122924,3.028979757600672,0.9370929046154399,0.12612752057485546,3,5723,2025-04-13,2026-05-17,法甲,score,自动Dixon-Coles
301,0.12292358803986711,2.7842394883758326,0.9232174193237505,0.12932008541042966,1,5121,2023-02-12,2024-02-25,法甲,score,自动Dixon-Coles+均值收缩10%
301,0.10299003322259136,3.0019469825932013,0.940184228458784,0.1283213114957047,2,5422,2024-02-25,2025-04-12,法甲,score,自动Dixon-Coles+均值收缩10%
301,0.11295681063122924,3.0290067742938356,0.9370022392222166,0.12610566841444043,3,5723,2025-04-13,2026-05-17,法甲,score,自动Dixon-Coles+均值收缩10%
301,0.10299003322259136,2.8304584902768504,0.9256889817140632,0.12597655247406533,1,5121,2023-02-12,2024-02-25,法甲,score,非线性泊松+自动Dixon-Coles
301,0.11295681063122924,3.0312070655732506,0.9423441153544688,0.1276423820708648,2,5422,2024-02-25,2025-04-12,法甲,score,非线性泊松+自动Dixon-Coles
301,0.09634551495016612,3.0294302264095734,0.9384491220995336,0.12270778253820518,3,5723,2025-04-13,2026-05-17,法甲,score,非线性泊松+自动Dixon-Coles
