Date,Season,Home,Away,HG,AG,Result,Result-U/O,1,X,2,HTR,HST,AST,HC,AC,Week,HW,AW,HL,AL,HGF,AGF,HAGF,HGA,AGA,HAGA,HGD,AGD,HAGD,HWGD,AWGD,HAWGD,HLGD,ALGD,HALGD,HW%,HL%,AW%,AL%,HSTF,ASTF,HCF,ACF
2026-05-04,2025,Roma,Fiorentina,4.0,0.0,H,O,1.61,3.94,5.08,H,7.0,1.0,4.0,5.0,18,2.0,2.0,0.0,1.0,8.0,6.0,2.0,4.0,5.0,-1.0,4.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,-1.0,64.7,17.6,23.5,41.2,19.0,10.0,22.0,11.0
2026-05-04,2025,Cremonese,Lazio,1.0,2.0,A,O,2.88,3.21,2.42,H,5.0,3.0,3.0,3.0,17,0.0,2.0,3.0,2.0,2.0,4.0,-2.0,8.0,3.0,5.0,-6.0,1.0,-7.0,0.0,2.0,-2.0,2.0,1.0,1.0,12.5,43.8,29.4,35.3,13.0,21.0,18.0,16.0
2026-05-03,2025,Sassuolo,Milan,2.0,0.0,H,U,4.49,3.98,1.68,H,4.0,1.0,2.0,3.0,18,3.0,2.0,1.0,2.0,6.0,3.0,3.0,4.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,47.1,41.2,58.8,11.8,14.0,13.0,17.0,20.0
2026-05-03,2025,Juventus,Verona,1.0,1.0,D,U,1.21,6.02,12.75,A,7.0,3.0,14.0,1.0,18,3.0,1.0,0.0,3.0,9.0,3.0,6.0,1.0,7.0,-6.0,8.0,-4.0,12.0,3.0,0.0,3.0,0.0,1.0,-1.0,58.8,5.9,11.8,58.8,24.0,13.0,24.0,18.0
2026-05-03,2025,Inter,Parma,2.0,0.0,H,U,1.21,6.25,11.94,H,5.0,0.0,8.0,3.0,18,3.0,1.0,0.0,1.0,11.0,3.0,8.0,3.0,5.0,-2.0,8.0,-2.0,10.0,3.0,0.0,3.0,0.0,1.0,-1.0,76.5,11.8,35.3,29.4,23.0,8.0,23.0,15.0
2026-05-03,2025,Bologna,Cagliari,0.0,0.0,D,U,1.78,3.43,4.55,D,4.0,2.0,7.0,2.0,18,1.0,0.0,3.0,3.0,3.0,3.0,0.0,6.0,9.0,-3.0,-3.0,-6.0,3.0,1.0,0.0,1.0,2.0,2.0,0.0,35.3,52.9,17.6,52.9,12.0,13.0,22.0,19.0
2026-05-02,2025,Udinese,Torino,2.0,0.0,H,U,2.25,3.19,3.2,H,8.0,1.0,5.0,2.0,18,1.0,1.0,2.0,2.0,3.0,4.0,-1.0,2.0,5.0,-3.0,1.0,-1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,29.4,41.2,23.5,47.1,16.0,14.0,23.0,11.0
2026-05-02,2025,Como,Napoli,0.0,0.0,D,U,2.24,3.26,3.18,D,5.0,1.0,3.0,2.0,18,3.0,2.0,1.0,1.0,13.0,5.0,8.0,6.0,4.0,2.0,7.0,1.0,6.0,2.0,0.0,2.0,0.0,0.0,0.0,52.9,17.6,52.9,35.3,29.0,20.0,20.0,20.0
2026-05-02,2025,Atalanta,Genoa,0.0,0.0,D,U,1.57,3.99,5.54,D,7.0,2.0,6.0,2.0,18,2.0,2.0,1.0,2.0,5.0,4.0,1.0,4.0,5.0,-1.0,1.0,-1.0,2.0,0.0,1.0,-1.0,0.0,2.0,-2.0,52.9,17.6,25.0,43.8,17.0,13.0,32.0,14.0
2026-05-01,2025,Pisa,Lecce,1.0,2.0,A,O,3.42,2.99,2.27,D,7.0,4.0,6.0,1.0,18,1.0,0.0,3.0,3.0,4.0,1.0,3.0,5.0,5.0,0.0,-1.0,-4.0,3.0,1.0,0.0,1.0,0.0,1.0,-1.0,11.8,64.7,17.6,64.7,14.0,8.0,14.0,19.0
2026-04-27,2025,Lazio,Udinese,3.0,3.0,D,O,1.97,3.26,3.87,A,5.0,7.0,4.0,5.0,17,2.0,2.0,1.0,1.0,4.0,7.0,-3.0,4.0,3.0,1.0,0.0,4.0,-4.0,0.0,2.0,-2.0,1.0,0.0,1.0,43.8,25.0,43.8,43.8,15.0,15.0,14.0,14.0
